Sample;Sample_ID;Grain_ID;206Pb_238U;206Pb_238U_err_1s;207Pb_235U;207Pb_235U_err_1s;RHO;75Age;75Age_err;68Age;68Age_err_2s;BestAge;BestAge_err;Disc
060065_01;060065;01;0,01;0,00;0,04;0,00;0,20;42,79;2,88;37,55;0,51;37,55;0,51;0,12
060065_02;060065;02;0,01;0,00;0,04;0,00;0,96;40,08;0,79;39,42;0,76;39,42;0,76;0,02
060065_03;060065;03;0,01;0,00;0,08;0,01;0,22;76,36;10,13;38,89;1,15;38,89;1,15;0,49
060065_04;060065;04;0,01;0,00;0,06;0,01;0,11;58,19;14,30;37,09;1,01;37,09;1,01;0,36
060065_05;060065;05;0,01;0,00;0,04;0,00;0,63;40,24;1,24;36,94;0,72;36,94;0,72;0,08
060065_06;060065;06;0,01;0,00;0,04;0,00;0,17;43,17;5,33;37,27;0,79;37,27;0,79;0,14
060065_07;060065;07;0,01;0,00;0,05;0,00;0,15;45,40;3,01;37,34;0,37;37,34;0,37;0,18
060065_08;060065;08;0,01;0,00;0,06;0,00;0,16;55,45;7,68;37,97;0,88;37,97;0,88;0,32
060065_09;060065;09;0,01;0,00;0,04;0,00;0,37;37,93;1,41;36,50;0,51;36,50;0,51;0,04
060065_10;060065;10;0,01;0,00;0,38;0,04;0,42;325,12;55,44;54,93;4,65;54,93;4,65;0,83
060065_11;060065;11;0,01;0,00;0,10;0,03;0,03;100,28;48,42;36,74;0,44;36,74;0,44;0,63
060065_12;060065;12;0,01;0,00;0,04;0,00;0,40;38,18;1,37;37,26;0,54;37,26;0,54;0,02
060065_13;060065;13;0,01;0,00;0,05;0,00;0,22;48,97;4,16;37,78;0,72;37,78;0,72;0,23
060065_14;060065;14;0,01;0,00;0,05;0,00;0,17;52,68;3,43;38,15;0,44;38,15;0,44;0,28
060065_15;060065;15;0,01;0,00;0,04;0,00;0,09;41,63;5,32;36,35;0,44;36,35;0,44;0,13
060065_16;060065;16;0,01;0,00;0,04;0,00;0,43;40,10;1,70;36,73;0,69;36,73;0,69;0,08
060065_17;060065;17;0,01;0,00;0,04;0,00;0,19;37,39;3,33;36,35;0,63;36,35;0,63;0,03
060065_18;060065;18;0,01;0,00;0,04;0,00;0,21;40,75;2,99;36,56;0,56;36,56;0,56;0,10
060065_19;060065;19;0,01;0,00;0,04;0,00;0,56;39,78;1,08;37,33;0,58;37,33;0,58;0,06
060065_20;060065;20;0,01;0,00;0,04;0,00;0,14;43,17;3,87;37,06;0,46;37,06;0,46;0,14
060067_01;060067;01;0,01;0,00;0,05;0,00;0,16;49,77;4,02;36,92;0,49;36,92;0,49;0,26
060067_02;060067;02;0,01;0,00;0,04;0,00;0,19;37,95;2,42;35,85;0,44;35,85;0,44;0,06
060067_03;060067;03;0,01;0,00;0,04;0,00;0,09;40,37;4,32;36,54;0,35;36,54;0,35;0,09
060067_04;060067;04;0,01;0,00;0,04;0,00;0,10;39,30;3,43;36,17;0,33;36,17;0,33;0,08
060067_05;060067;05;0,01;0,00;0,04;0,00;0,17;40,18;2,26;36,37;0,35;36,37;0,35;0,10
060067_06;060067;06;0,01;0,00;0,04;0,00;0,13;43,79;4,13;36,34;0,44;36,34;0,44;0,17
060067_07;060067;07;0,01;0,00;0,06;0,01;0,10;61,11;13,45;37,75;0,83;37,75;0,83;0,38
060067_08;060067;08;0,01;0,00;0,04;0,00;0,07;44,22;7,02;36,42;0,42;36,42;0,42;0,18
060067_09;060067;09;0,01;0,00;0,09;0,01;0,24;87,32;11,16;39,53;1,27;39,53;1,27;0,55
060067_10;060067;10;0,01;0,00;0,04;0,00;0,23;37,93;2,07;35,51;0,45;35,51;0,45;0,06
060067_11;060067;11;0,01;0,00;0,04;0,00;0,17;38,31;2,10;36,49;0,35;36,49;0,35;0,05
060067_12;060067;12;0,01;0,00;0,04;0,00;0,34;37,94;1,03;35,80;0,33;35,80;0,33;0,06
060067_13;060067;13;0,01;0,00;0,05;0,00;0,15;47,69;3,64;36,59;0,42;36,59;0,42;0,23
060067_14;060067;14;0,01;0,00;0,04;0,00;0,11;41,54;4,90;35,70;0,45;35,70;0,45;0,14
060067_15;060067;15;0,01;0,00;0,04;0,00;0,44;38,40;0,95;36,44;0,40;36,44;0,40;0,05
060067_16;060067;16;0,01;0,00;0,04;0,00;0,25;37,92;1,71;36,33;0,42;36,33;0,42;0,04
060067_17;060067;17;0,01;0,00;0,04;0,00;0,22;37,30;2,29;36,34;0,51;36,34;0,51;0,03
060067_18;060067;18;0,01;0,00;0,04;0,00;0,27;38,65;1,07;36,31;0,28;36,31;0,28;0,06
060067_19;060067;19;0,01;0,00;0,04;0,00;0,20;38,82;2,06;35,53;0,38;35,53;0,38;0,08
060067_20;060067;20;0,01;0,00;0,04;0,00;0,11;41,23;3,98;36,51;0,38;36,51;0,38;0,11
060072_01;060072;01;0,01;0,00;0,08;0,00;0,15;76,58;3,32;66,40;0,46;66,40;0,46;0,13
060072_02;060072;02;0,01;0,00;0,08;0,00;0,19;80,45;4,26;66,78;0,71;66,78;0,71;0,17
060072_03;060072;03;0,01;0,00;0,07;0,00;0,71;70,57;0,99;68,95;0,71;68,95;0,71;0,02
060072_04;060072;04;0,01;0,00;0,12;0,00;0,60;117,90;7,90;86,70;3,64;86,70;3,64;0,26
060072_05;060072;05;0,01;0,00;0,49;0,01;0,31;404,97;11,13;87,91;0,89;87,91;0,89;0,78
060072_06;060072;06;0,01;0,00;0,07;0,00;0,49;68,56;1,08;66,97;0,53;66,97;0,53;0,02
060072_07;060072;07;0,01;0,00;0,07;0,00;0,70;68,60;1,29;65,81;0,89;65,81;0,89;0,04
060072_08;060072;08;0,01;0,00;0,08;0,00;0,91;74,80;2,00;72,97;1,83;72,97;1,83;0,02
060072_09;060072;09;0,01;0,00;0,08;0,00;0,22;73,60;2,40;68,00;0,51;68,00;0,51;0,08
060072_10;060072;10;0,01;0,00;0,07;0,00;0,35;69,32;3,19;66,05;1,10;66,05;1,10;0,05
060072_11;060072;11;0,01;0,00;0,08;0,00;0,79;75,34;1,60;70,32;1,21;70,32;1,21;0,07
060072_12;060072;12;0,01;0,00;0,10;0,01;0,10;95,68;13,14;69,40;1,00;69,40;1,00;0,27
060072_13;060072;13;0,01;0,00;0,07;0,00;0,53;68,43;1,42;67,19;0,76;67,19;0,76;0,02
060072_14;060072;14;0,01;0,00;0,29;0,02;0,20;259,17;32,10;77,00;2,12;77,00;2,12;0,70
060072_15;060072;15;0,01;0,00;0,07;0,00;0,74;67,65;1,18;66,46;0,89;66,46;0,89;0,02
060072_16;060072;16;0,01;0,00;0,11;0,00;0,16;102,94;6,92;68,14;0,74;68,14;0,74;0,34
060072_17;060072;17;0,01;0,00;0,07;0,00;0,35;68,67;1,86;67,11;0,65;67,11;0,65;0,02
060072_18;060072;18;0,01;0,00;0,28;0,01;0,34;253,03;9,27;76,89;1,08;76,89;1,08;0,70
060072_19;060072;19;0,01;0,00;0,08;0,00;0,20;78,11;3,41;67,79;0,62;67,79;0,62;0,13
060072_20;060072;20;0,01;0,00;0,11;0,01;0,09;107,08;9,60;68,86;0,57;68,86;0,57;0,36
060072_21;060072;21;0,01;0,00;0,08;0,00;0,31;82,17;1,70;69,80;0,47;69,80;0,47;0,15
060072_22;060072;22;0,01;0,00;0,11;0,00;0,20;103,24;4,58;68,45;0,62;68,45;0,62;0,34
060072_23;060072;23;0,01;0,00;0,07;0,00;0,53;69,24;1,33;65,94;0,69;65,94;0,69;0,05
060072_24;060072;24;0,01;0,00;0,07;0,00;0,82;69,84;1,28;67,28;1,04;67,28;1,04;0,04
060072_25;060072;25;0,01;0,00;0,05;0,00;0,47;49,49;0,86;47,41;0,40;47,41;0,40;0,04
060072_26;060072;26;0,01;0,00;0,08;0,00;0,36;80,54;1,88;69,08;0,60;69,08;0,60;0,14
060072_27;060072;27;0,01;0,00;0,10;0,00;0,25;96,05;3,52;70,21;0,67;70,21;0,67;0,27
060072_28;060072;28;0,01;0,00;0,09;0,00;0,23;82,91;4,58;66,78;0,87;66,78;0,87;0,19
060072_29;060072;29;0,02;0,00;1,36;0,12;0,62;871,88;100,10;151,04;16,07;151,04;16,07;0,83
060072_30;060072;30;0,01;0,00;0,42;0,02;0,13;359,29;31,38;92,32;1,20;92,32;1,20;0,74
070242_01_01;070242;01_01;0,01;0,00;0,06;0,00;0,24;57,33;4,69;57,90;1,17;57,90;1,17;-0,01
070242_01_02;070242;01_02;0,01;0,00;0,05;0,00;0,37;49,16;2,08;46,41;0,74;46,41;0,74;0,06
070242_01B;070242;01B;0,01;0,00;0,05;0,00;0,45;46,89;2,15;50,54;1,06;50,54;1,06;-0,08
070242_02_01;070242;02_01;0,01;0,00;0,06;0,00;0,81;59,02;1,87;56,34;1,49;56,34;1,49;0,05
070242_02_02;070242;02_02;0,01;0,00;0,05;0,00;0,65;48,56;0,77;47,71;0,50;47,71;0,50;0,02
070242_02B;070242;02B;0,01;0,00;0,06;0,00;0,88;60,03;3,34;59,69;2,99;59,69;2,99;0,01
070242_03_01;070242;03_01;0,01;0,00;0,06;0,00;0,44;61,75;4,98;54,95;1,98;54,95;1,98;0,11
070242_03_02;070242;03_02;0,01;0,00;0,05;0,00;0,90;50,11;1,31;49,21;1,19;49,21;1,19;0,02
070242_03B;070242;03B;0,01;0,00;0,06;0,00;0,62;61,90;3,12;59,12;1,89;59,12;1,89;0,05
070242_04_01;070242;04_01;0,01;0,00;0,06;0,00;0,47;61,69;3,99;53,89;1,68;53,89;1,68;0,13
070242_04_02;070242;04_02;0,01;0,00;0,05;0,00;0,55;49,05;2,28;48,11;1,27;48,11;1,27;0,02
070242_05_01;070242;05_01;0,01;0,00;0,06;0,00;0,83;55,86;2,47;55,02;2,06;55,02;2,06;0,02
070242_05_02;070242;05_02;0,01;0,00;0,05;0,00;0,56;52,96;2,33;49,03;1,23;49,03;1,23;0,07
070242_05B;070242;05B;0,01;0,00;0,06;0,00;0,96;62,36;5,55;60,95;5,37;60,95;5,37;0,02
070242_06_01;070242;06_01;0,01;0,00;0,06;0,00;0,61;59,14;3,98;53,48;2,25;53,48;2,25;0,10
070242_06_02;070242;06_02;0,01;0,00;0,05;0,00;0,85;49,92;1,34;48,69;1,13;48,69;1,13;0,02
070242_06B;070242;06B;0,01;0,00;0,05;0,00;0,85;51,98;1,57;51,63;1,35;51,63;1,35;0,01
070242_07_01;070242;07_01;0,01;0,00;0,06;0,00;0,28;60,83;5,46;53,64;1,36;53,64;1,36;0,12
070242_07_02;070242;07_02;0,01;0,00;0,06;0,00;0,30;54,66;2,76;51,54;0,81;51,54;0,81;0,06
070242_07B;070242;07B;0,01;0,00;0,05;0,00;0,66;52,82;2,60;52,16;1,74;52,16;1,74;0,01
070242_08_01;070242;08_01;0,01;0,00;0,05;0,00;0,35;53,20;4,99;52,58;1,78;52,58;1,78;0,01
070242_08_02;070242;08_02;0,01;0,00;0,05;0,00;0,46;52,39;2,68;48,01;1,16;48,01;1,16;0,08
070242_08B;070242;08B;0,01;0,00;0,06;0,00;0,80;55,44;1,49;51,67;1,15;51,67;1,15;0,07
070242_09_01;070242;09_01;0,01;0,00;0,06;0,00;0,46;59,54;4,92;55,86;2,15;55,86;2,15;0,06
070242_09_02;070242;09_02;0,01;0,00;0,05;0,00;0,52;50,93;2,04;48,66;1,03;48,66;1,03;0,04
070242_09B;070242;09B;0,01;0,00;0,05;0,00;0,29;51,14;4,20;51,78;1,27;51,78;1,27;-0,01
070242_10_01;070242;10_01;0,01;0,00;0,06;0,00;0,72;55,73;2,10;52,39;1,46;52,39;1,46;0,06
070242_10_02;070242;10_02;0,01;0,00;0,05;0,00;0,43;52,16;2,67;47,70;1,07;47,70;1,07;0,09
070242_10B;070242;10B;0,01;0,00;0,06;0,00;0,25;63,26;4,20;53,09;0,89;53,09;0,89;0,16
070242_11_01;070242;11_01;0,01;0,00;0,19;0,00;0,84;172,75;6,38;63,96;2,16;63,96;2,16;0,63
070242_11_02;070242;11_02;0,01;0,00;0,35;0,03;0,41;303,67;52,03;66,75;5,47;66,75;5,47;0,78
070242_11B;070242;11B;0,01;0,00;0,03;0,00;0,31;33,75;2,13;40,09;0,80;40,09;0,80;-0,19
070242_11C;070242;11C;0,01;0,00;0,06;0,00;0,68;57,91;1,96;52,82;1,24;52,82;1,24;0,09
070242_12_01;070242;12_01;0,01;0,00;0,05;0,01;0,19;45,98;20,65;67,60;5,72;67,60;5,72;-0,47
070242_12_02;070242;12_02;0,01;0,00;0,12;0,03;0,09;118,46;52,64;50,40;1,99;50,40;1,99;0,57
070242_12B;070242;12B;0,01;0,00;0,06;0,00;0,37;56,13;4,44;53,36;1,61;53,36;1,61;0,05
070242_13_01;070242;13_01;0,01;0,00;0,06;0,00;0,91;54,40;1,61;51,93;1,44;51,93;1,44;0,05
070242_13_02;070242;13_02;0,01;0,00;0,06;0,00;0,45;54,38;2,46;49,05;1,01;49,05;1,01;0,10
070242_13B;070242;13B;0,01;0,00;0,06;0,00;0,62;62,66;4,07;62,38;2,58;62,38;2,58;0,00
070242_13C;070242;13C;0,01;0,00;-0,06;-0,03;0,09;-64,84;-74,43;54,57;5,09;54,57;5,09;1,84
070242_14_01;070242;14_01;0,01;0,00;0,06;0,00;0,98;57,62;3,49;53,34;3,25;53,34;3,25;0,07
070242_14_02;070242;14_02;0,01;0,00;0,06;0,00;0,42;55,83;2,36;49,42;0,89;49,42;0,89;0,11
070242_14B;070242;14B;0,01;0,00;0,05;0,00;0,79;52,59;1,79;52,31;1,44;52,31;1,44;0,01
070242_15_01;070242;15_01;0,01;0,00;0,05;0,00;0,09;53,60;9,21;49,11;0,75;49,11;0,75;0,08
070242_15_02;070242;15_02;0,01;0,00;0,05;0,00;0,33;52,32;2,89;48,50;0,91;48,50;0,91;0,07
070242_16_01;070242;16_01;0,01;0,00;0,06;0,00;0,36;60,63;3,61;51,53;1,12;51,53;1,12;0,15
070242_16_02;070242;16_02;0,01;0,00;0,07;0,00;0,37;67,02;6,76;52,01;1,99;52,01;1,99;0,22
070242_17_01;070242;17_01;0,01;0,00;0,06;0,00;0,74;56,68;2,02;50,13;1,36;50,13;1,36;0,12
070242_17_02;070242;17_02;0,01;0,00;0,07;0,00;0,37;67,02;6,76;52,01;1,99;52,01;1,99;0,22
070242_18_01;070242;18_01;0,01;0,00;0,06;0,00;0,52;58,08;1,01;53,52;0,50;53,52;0,50;0,08
070242_18_02;070242;18_02;0,01;0,00;0,05;0,00;0,59;51,67;1,56;49,25;0,89;49,25;0,89;0,05
070242_19_01;070242;19_01;0,01;0,00;0,05;0,00;0,70;54,03;1,64;52,21;1,13;52,21;1,13;0,03
070242_19_02;070242;19_02;0,01;0,00;0,06;0,00;0,43;57,67;3,46;52,83;1,41;52,83;1,41;0,08
070242_20_01;070242;20_01;0,01;0,00;0,05;0,00;0,68;51,08;1,31;49,50;0,88;49,50;0,88;0,03
070242_20_02;070242;20_02;0,01;0,00;0,06;0,00;0,67;63,52;2,99;52,12;1,68;52,12;1,68;0,18
070242_21;070242;21;0,01;0,00;0,06;0,00;0,25;63,51;5,00;56,85;1,17;56,85;1,17;0,10
070242_22;070242;22;0,01;0,00;0,08;0,00;0,82;78,20;3,10;63,56;2,14;63,56;2,14;0,19
070242_23;070242;23;0,01;0,00;0,06;0,00;0,83;62,82;2,31;58,04;1,82;58,04;1,82;0,08
070242_24;070242;24;0,01;0,00;0,06;0,00;0,59;61,74;3,13;59,41;1,82;59,41;1,82;0,04
070242_25;070242;25;0,01;0,00;0,09;0,01;0,14;83,40;11,47;56,54;1,14;56,54;1,14;0,32
070242_26;070242;26;0,01;0,00;0,06;0,00;0,80;58,66;1,86;57,12;1,48;57,12;1,48;0,03
070242_27;070242;27;0,01;0,00;0,07;0,00;0,25;71,40;6,26;58,07;1,33;58,07;1,33;0,19
070242_28;070242;28;0,01;0,00;0,08;0,00;0,55;78,44;3,84;58,85;1,66;58,85;1,66;0,25
070242_29;070242;29;0,01;0,00;0,06;0,00;0,65;60,68;1,90;58,67;1,22;58,67;1,22;0,03
070242_30;070242;30;0,01;0,00;0,06;0,00;0,29;59,14;4,71;59,74;1,43;59,74;1,43;-0,01
070242_31;070242;31;0,01;0,00;0,07;0,00;0,36;64,01;3,04;59,02;1,03;59,02;1,03;0,08
070242_32;070242;32;0,01;0,00;0,06;0,00;0,43;58,21;4,35;59,92;1,98;59,92;1,98;-0,03
070242_33;070242;33;0,01;0,00;0,06;0,00;0,68;61,26;1,93;59,84;1,32;59,84;1,32;0,02
070242_34;070242;34;0,01;0,00;0,06;0,00;0,40;57,56;3,85;58,35;1,59;58,35;1,59;-0,01
070242_35;070242;35;0,01;0,00;0,08;0,00;0,44;74,98;5,38;61,08;1,98;61,08;1,98;0,19
070242_36;070242;36;0,01;0,00;0,06;0,00;0,51;57,88;2,07;56,87;1,07;56,87;1,07;0,02
070242_37;070242;37;0,01;0,00;0,06;0,00;0,22;57,63;7,31;56,67;1,64;56,67;1,64;0,02
070242_38;070242;38;0,01;0,00;0,06;0,00;0,21;60,03;5,73;58,75;1,19;58,75;1,19;0,02
070242_39;070242;39;0,01;0,00;0,06;0,00;0,39;57,76;3,46;57,45;1,38;57,45;1,38;0,01
070242_40;070242;40;0,01;0,00;0,06;0,00;0,51;56,54;2,30;56,72;1,22;56,72;1,22;0,00
070242_41;070242;41;0,01;0,00;0,06;0,00;0,85;61,89;1,93;60,00;1,64;60,00;1,64;0,03
070242_42;070242;42;0,01;0,00;0,06;0,00;0,78;61,23;1,68;59,19;1,30;59,19;1,30;0,03
070242_43;070242;43;0,01;0,00;0,08;0,00;0,32;77,15;6,45;64,97;1,82;64,97;1,82;0,16
070242_44;070242;44;0,01;0,00;0,07;0,00;0,66;69,31;1,27;68,04;0,84;68,04;0,84;0,02
070242_45;070242;45;0,01;0,00;0,07;0,00;0,48;66,25;4,27;62,47;1,98;62,47;1,98;0,06
070242_46;070242;46;0,01;0,00;0,06;0,00;0,43;63,08;3,63;59,36;1,51;59,36;1,51;0,06
070242_47;070242;47;0,01;0,00;0,08;0,00;0,48;80,36;5,02;68,58;2,15;68,58;2,15;0,15
070242_48;070242;48;0,01;0,00;0,07;0,00;0,79;64,45;2,56;61,47;1,98;61,47;1,98;0,05
070242_49;070242;49;0,01;0,00;0,07;0,00;0,56;63,99;2,74;60,26;1,49;60,26;1,49;0,06
070242_50;070242;50;0,01;0,00;0,06;0,00;0,55;62,88;3,98;60,38;2,14;60,38;2,14;0,04
070242_51;070242;51;0,01;0,00;0,06;0,00;0,84;61,83;2,47;62,35;2,14;62,35;2,14;-0,01
070242_52;070242;52;0,01;0,00;0,07;0,00;0,45;67,12;5,81;61,01;2,47;61,01;2,47;0,09
070242_53;070242;53;0,01;0,00;0,07;0,00;0,62;67,59;3,76;60,22;2,14;60,22;2,14;0,11
070242_54;070242;54;0,01;0,00;0,06;0,00;0,77;61,57;2,14;60,05;1,66;60,05;1,66;0,02
070242_55;070242;55;0,01;0,00;0,11;0,01;0,19;109,19;20,69;71,02;2,63;71,02;2,63;0,35
070242_56;070242;56;0,01;0,00;0,07;0,00;0,91;64,00;2,50;62,80;2,31;62,80;2,31;0,02
070242_57;070242;57;0,01;0,00;0,06;0,00;0,62;60,99;3,20;59,79;1,98;59,79;1,98;0,02
070242_58;070242;58;0,01;0,00;0,07;0,00;0,57;71,17;3,62;61,05;1,82;61,05;1,82;0,14
070242_59;070242;59;0,01;0,00;0,06;0,00;0,64;63,83;3,50;59,89;2,14;59,89;2,14;0,06
070242_60;070242;60;0,01;0,00;0,06;0,00;0,92;63,24;2,67;62,29;2,47;62,29;2,47;0,01
070242_61;070242;61;0,01;0,00;0,11;0,01;0,37;106,73;9,88;68,31;2,47;68,31;2,47;0,36
070242_62;070242;62;0,01;0,00;0,08;0,00;0,13;75,35;5,93;62,50;0,68;62,50;0,68;0,17
070242_63;070242;63;0,01;0,00;0,07;0,00;0,83;64,23;2,42;61,90;1,98;61,90;1,98;0,04
070242_64;070242;64;0,01;0,00;0,06;0,00;0,29;59,49;8,48;62,17;2,63;62,17;2,63;-0,05
070242_65;070242;65;0,01;0,00;0,07;0,00;0,85;65,73;3,26;64,66;2,80;64,66;2,80;0,02
070242_66;070242;66;0,01;0,00;0,07;0,00;0,74;70,48;2,92;62,82;1,98;62,82;1,98;0,11
070242_67;070242;67;0,01;0,00;0,07;0,00;0,79;67,99;2,62;63,22;1,98;63,22;1,98;0,07
070242_68;070242;68;0,01;0,00;0,07;0,00;0,81;65,11;2,31;61,49;1,82;61,49;1,82;0,06
070242_69;070242;69;0,01;0,00;0,08;0,00;0,90;79,49;4,86;69,20;3,94;69,20;3,94;0,13
070242_70;070242;70;0,01;0,00;0,07;0,00;0,74;65,68;3,18;62,48;2,31;62,48;2,31;0,05
070287_01_01;070287;01_01;0,01;0,00;0,05;0,01;0,11;45,31;15,22;42,74;1,57;42,74;1,57;0,06
070287_01_02;070287;01_02;0,03;0,01;1,99;0,50;0,78;1112,20;315,52;216,19;83,54;216,19;83,54;0,81
070287_01B;070287;01B;0,01;0,00;0,05;0,01;0,16;45,62;10,01;45,26;1,64;45,26;1,64;0,01
070287_01Rim;070287;01Rim;0,01;0,00;0,06;0,01;0,10;60,50;9,61;37,94;0,58;37,94;0,58;0,37
070287_02;070287;02_01;0,01;0,00;0,06;0,01;0,11;61,01;13,98;43,84;1,11;43,84;1,11;0,28
070287_02;070287;02_02;0,01;0,00;0,05;0,00;0,18;53,78;6,94;38,37;0,92;38,37;0,92;0,29
070287_02B;070287;02B;0,01;0,00;0,06;0,00;0,22;57,12;7,83;45,29;1,42;45,29;1,42;0,21
070287_03;070287;03;0,01;0,00;0,07;0,01;0,11;72,32;12,20;44,94;0,82;44,94;0,82;0,38
070287_03B;070287;03B;0,01;0,00;0,06;0,00;0,42;55,78;5,57;47,82;2,06;47,82;2,06;0,14
070287_04;070287;04_01;0,01;0,00;0,04;0,00;0,09;37,07;9,44;41,91;0,97;41,91;0,97;-0,13
070287_04;070287;04_02;0,01;0,00;0,04;0,00;0,26;36,17;4,14;38,71;1,15;38,71;1,15;-0,07
070287_04B;070287;04B;0,01;0,00;0,05;0,00;0,34;53,61;5,83;47,09;1,78;47,09;1,78;0,12
070287_05;070287;05_01;0,01;0,00;0,04;0,01;0,06;35,96;16,27;41,69;1,08;41,69;1,08;-0,16
070287_05;070287;05_02;0,01;0,00;0,05;0,00;0,38;51,21;5,89;41,02;1,85;41,02;1,85;0,20
070287_05B;070287;05B;0,01;0,00;0,04;0,00;0,13;41,64;8,41;47,24;1,24;47,24;1,24;-0,13
070287_06;070287;06_01;0,01;0,00;0,06;0,01;0,17;56,73;9,86;44,17;1,35;44,17;1,35;0,22
070287_06;070287;06_02;0,01;0,00;0,05;0,00;0,26;49,18;6,04;39,41;1,29;39,41;1,29;0,20
070287_06B;070287;06B;0,01;0,00;0,07;0,01;0,16;65,80;23,48;46,89;2,77;46,89;2,77;0,29
070287_07;070287;07_01;0,01;0,00;0,01;0,01;0,04;14,02;16,36;44,79;1,49;44,79;1,49;-2,19
070287_07;070287;07_02;0,01;0,00;0,05;0,00;0,32;54,04;4,23;41,46;1,06;41,46;1,06;0,23
070287_07B;070287;07B;0,01;0,00;0,06;0,01;0,12;59,29;19,56;50,11;1,93;50,11;1,93;0,15
070287_08;070287;08_01;0,01;0,00;0,03;0,01;0,07;31,78;10,44;42,52;0,98;42,52;0,98;-0,34
070287_08;070287;08_02;0,01;0,00;0,05;0,00;0,18;46,21;5,89;38,99;0,91;38,99;0,91;0,16
070287_08B;070287;08B;0,01;0,00;0,05;0,00;0,33;49,80;5,84;51,87;2,07;51,87;2,07;-0,04
070287_09;070287;09;0,01;0,00;0,04;0,01;0,09;36,73;20,23;44,41;2,11;44,41;2,11;-0,21
070287_09B;070287;09B;0,01;0,00;0,05;0,00;0,44;49,84;4,02;45,40;1,64;45,40;1,64;0,09
070287_10;070287;10_01;0,01;0,00;0,03;0,01;0,09;33,61;14,09;43,12;1,54;43,12;1,54;-0,28
070287_10;070287;10_02;0,01;0,00;0,04;0,00;0,12;39,53;6,39;39,73;0,77;39,73;0,77;-0,01
070287_10B;070287;10B;0,01;0,00;0,18;0,04;0,39;167,41;68,20;56,27;9,65;56,27;9,65;0,66
070287_11;070287;11_01;0,01;0,00;0,05;0,01;0,08;47,22;23,39;45,43;1,84;45,43;1,84;0,04
070287_11;070287;11_02;0,01;0,00;0,05;0,00;0,19;45,77;5,06;40,41;0,84;40,41;0,84;0,12
070287_11B;070287;11B;0,01;0,00;0,05;0,00;0,21;48,34;7,08;46,52;1,46;46,52;1,46;0,04
070287_12;070287;12_01;0,01;0,00;0,06;0,01;0,10;62,08;19,21;46,48;1,43;46,48;1,43;0,25
070287_12;070287;12_02;0,01;0,00;0,06;0,00;0,34;63,81;8,83;41,29;1,99;41,29;1,99;0,35
070287_12B;070287;12B;0,01;0,00;0,23;0,04;0,35;208,66;60,68;60,45;6,78;60,45;6,78;0,71
070287_13;070287;13_01;0,01;0,00;0,02;0,01;0,06;18,78;11,77;50,01;1,87;50,01;1,87;-1,66
070287_13;070287;13_02;0,01;0,00;0,05;0,00;0,32;48,40;6,69;41,42;1,85;41,42;1,85;0,14
070287_13B;070287;13B;0,01;0,00;0,07;0,01;0,25;66,72;9,52;47,70;1,78;47,70;1,78;0,29
070287_14;070287;14_01;0,01;0,00;0,05;0,00;0,25;52,48;5,24;49,28;1,28;49,28;1,28;0,06
070287_14;070287;14_02;0,01;0,00;0,06;0,00;0,44;57,75;6,65;43,68;2,27;43,68;2,27;0,24
070287_14B;070287;14B;0,01;0,00;0,05;0,00;0,20;45,28;5,72;45,63;1,20;45,63;1,20;-0,01
070287_15;070287;15_01;0,01;0,00;0,06;0,01;0,12;58,44;17,27;49,04;1,79;49,04;1,79;0,16
070287_15;070287;15_02;0,01;0,00;0,05;0,00;0,57;52,17;3,24;43,55;1,57;43,55;1,57;0,17
070287_15B;070287;15B;0,01;0,00;0,04;0,01;0,12;35,16;12,33;47,40;2,06;47,40;2,06;-0,35
070287_16;070287;16_01;0,01;0,00;0,03;0,01;0,06;34,43;13,70;42,03;0,95;42,03;0,95;-0,22
070287_16;070287;16_02;0,01;0,00;0,05;0,00;0,26;46,72;5,60;39,08;1,24;39,08;1,24;0,16
070287_16B;070287;16B;0,01;0,00;0,06;0,01;0,10;57,67;22,38;46,16;1,78;46,16;1,78;0,20
070287_17;070287;17_01;0,01;0,00;0,04;0,00;0,12;39,31;9,40;43,60;1,30;43,60;1,30;-0,11
070287_17;070287;17_02;0,01;0,00;0,05;0,01;0,20;47,79;13,48;42,42;2,41;42,42;2,41;0,11
070287_17B;070287;17B;0,01;0,00;0,06;0,01;0,15;56,20;11,12;46,38;1,43;46,38;1,43;0,17
070287_18;070287;18_01;0,01;0,00;0,05;0,01;0,12;44,88;10,64;46,12;1,33;46,12;1,33;-0,03
070287_18;070287;18_02;0,01;0,00;0,05;0,00;0,51;48,34;3,60;40,35;1,57;40,35;1,57;0,17
070287_18B;070287;18B;0,01;0,00;0,10;0,01;0,12;99,60;23,08;48,94;1,44;48,94;1,44;0,51
070287_19;070287;19_01;0,01;0,00;0,08;0,02;0,08;73,49;36,90;43,75;1,76;43,75;1,76;0,40
070287_19;070287;19_02;0,01;0,00;0,05;0,00;0,35;48,81;3,92;39,94;1,15;39,94;1,15;0,18
070287_19B;070287;19B;0,01;0,00;0,04;0,01;0,10;41,60;11,95;46,37;1,34;46,37;1,34;-0,11
070287_20;070287;20_01;0,01;0,00;0,07;0,01;0,16;70,66;16,85;48,19;1,87;48,19;1,87;0,32
070287_20;070287;20_02;0,01;0,00;0,05;0,00;0,48;49,92;4,55;41,15;1,85;41,15;1,85;0,18
